gene,importance_mean,importance_std
1007_s_at,0.0,0.0
224509_s_at,0.0,0.0
224689_at,0.0,0.0
224680_at,0.0,0.0
224667_x_at,0.0,0.0
224666_at,0.0,0.0
224656_s_at,0.0,0.0
224630_at,0.0,0.0
224628_at,0.0,0.0
224618_at,0.0,0.0
224613_s_at,0.0,0.0
224612_s_at,0.0,0.0
224594_x_at,0.0,0.0
224567_x_at,0.0,0.0
224523_s_at,0.0,0.0
224462_s_at,0.0,0.0
224129_s_at,0.0,0.0
224414_s_at,0.0,0.0
224410_s_at,0.0,0.0
224393_s_at,0.0,0.0
224376_s_at,0.0,0.0
224368_s_at,0.0,0.0
224366_s_at,0.0,0.0
224345_x_at,0.0,0.0
224331_s_at,0.0,0.0
224280_s_at,0.0,0.0
224254_x_at,0.0,0.0
224227_s_at,0.0,0.0
224187_x_at,0.0,0.0
224163_s_at,0.0,0.0
224709_s_at,0.0,0.0
224726_at,0.0,0.0
224738_x_at,0.0,0.0
224743_at,0.0,0.0
225117_at,0.0,0.0
225115_at,0.0,0.0
225111_s_at,0.0,0.0
225094_at,0.0,0.0
225092_at,0.0,0.0
225063_at,0.0,0.0
225061_at,0.0,0.0
225044_at,0.0,0.0
225003_at,0.0,0.0
225001_at,0.0,0.0
224999_at,0.0,0.0
224975_at,0.0,0.0
224970_at,0.0,0.0
224943_at,0.0,0.0
224913_s_at,0.0,0.0
224879_at,0.0,0.0
224878_at,0.0,0.0
224875_at,0.0,0.0
224871_at,0.0,0.0
224851_at,0.0,0.0
224825_at,0.0,0.0
224818_at,0.0,0.0
224801_at,0.0,0.0
224799_at,0.0,0.0
224782_at,0.0,0.0
224774_s_at,0.0,0.0
224771_at,0.0,0.0
224156_x_at,0.0,0.0
224057_s_at,0.0,0.0
1316_at,0.0,0.0
223104_at,0.0,0.0
223211_at,0.0,0.0
223207_x_at,0.0,0.0
223206_s_at,0.0,0.0
223193_x_at,0.0,0.0
223189_x_at,0.0,0.0
223185_s_at,0.0,0.0
223183_at,0.0,0.0
223156_at,0.0,0.0
223145_s_at,0.0,0.0
223134_at,0.0,0.0
223124_s_at,0.0,0.0
223109_at,0.0,0.0
223107_s_at,0.0,0.0
223088_x_at,0.0,0.0
224025_s_at,0.0,0.0
223082_at,0.0,0.0
223060_at,0.0,0.0
223059_s_at,0.0,0.0
223056_s_at,0.0,0.0
223043_at,0.0,0.0
223037_at,0.0,0.0
223020_at,0.0,0.0
223011_s_at,0.0,0.0
223002_s_at,0.0,0.0
222997_s_at,0.0,0.0
222995_s_at,0.0,0.0
222984_at,0.0,0.0
222983_s_at,0.0,0.0
223216_x_at,0.0,0.0
223219_s_at,0.0,0.0
223223_at,0.0,0.0
223229_at,0.0,0.0
223964_x_at,0.0,0.0
223913_s_at,0.0,0.0
223857_x_at,0.0,0.0
223757_at,0.0,0.0
223721_s_at,0.0,0.0
223711_s_at,0.0,0.0
223708_at,0.0,0.0
223701_s_at,0.0,0.0
223697_x_at,0.0,0.0
223673_at,0.0,0.0
223662_x_at,0.0,0.0
223650_s_at,0.0,0.0
223628_at,0.0,0.0
223532_at,0.0,0.0
223480_s_at,0.0,0.0
223461_at,0.0,0.0
223460_at,0.0,0.0
223450_s_at,0.0,0.0
223380_s_at,0.0,0.0
223363_at,0.0,0.0
223340_at,0.0,0.0
223334_at,0.0,0.0
223328_at,0.0,0.0
223319_at,0.0,0.0
223316_at,0.0,0.0
223272_s_at,0.0,0.0
223248_at,0.0,0.0
225121_at,0.0,0.0
225234_at,0.0,0.0
225237_s_at,0.0,0.0
227068_at,0.0,0.0
227365_at,0.0,0.0
227322_s_at,0.0,0.0
227321_at,0.0,0.0
227297_at,0.0,0.0
227283_at,0.0,0.0
227260_at,0.0,0.0
227252_at,0.0,0.0
227246_at,0.0,0.0
227196_at,0.0,0.0
227178_at,0.0,0.0
227152_at,0.0,0.0
227084_at,0.0,0.0
227082_at,0.0,0.0
227062_at,0.0,0.0
225239_at,0.0,0.0
227051_at,0.0,0.0
227022_at,0.0,0.0
226999_at,0.0,0.0
226938_at,0.0,0.0
226912_at,0.0,0.0
226899_at,0.0,0.0
226879_at,0.0,0.0
226876_at,0.0,0.0
226806_s_at,0.0,0.0
226779_at,0.0,0.0
226770_at,0.0,0.0
226751_at,0.0,0.0
226749_at,0.0,0.0
227404_s_at,0.0,0.0
227434_at,0.0,0.0
227453_at,0.0,0.0
227556_at,0.0,0.0
228715_at,0.0,0.0
228686_at,0.0,0.0
228613_at,0.0,0.0
228581_at,0.0,0.0
228556_at,0.0,0.0
228546_at,0.0,0.0
228544_s_at,0.0,0.0
228541_x_at,0.0,0.0
228456_s_at,0.0,0.0
228301_x_at,0.0,0.0
228059_x_at,0.0,0.0
228038_at,0.0,0.0
228027_at,0.0,0.0
228010_at,0.0,0.0
227959_at,0.0,0.0
227944_at,0.0,0.0
227897_at,0.0,0.0
227882_at,0.0,0.0
227872_at,0.0,0.0
227849_at,0.0,0.0
227847_at,0.0,0.0
227830_at,0.0,0.0
227760_at,0.0,0.0
227730_at,0.0,0.0
227663_at,0.0,0.0
227582_at,0.0,0.0
227580_s_at,0.0,0.0
226675_s_at,0.0,0.0
226648_at,0.0,0.0
226647_at,0.0,0.0
225870_s_at,0.0,0.0
225781_at,0.0,0.0
225779_at,0.0,0.0
225771_at,0.0,0.0
225742_at,0.0,0.0
225741_at,0.0,0.0
225733_at,0.0,0.0
225719_s_at,0.0,0.0
225699_at,0.0,0.0
225657_at,0.0,0.0
225571_at,0.0,0.0
225568_at,0.0,0.0
225556_at,0.0,0.0
225534_at,0.0,0.0
225507_at,0.0,0.0
225493_at,0.0,0.0
225489_at,0.0,0.0
225446_at,0.0,0.0
225415_at,0.0,0.0
225407_at,0.0,0.0
225387_at,0.0,0.0
225379_at,0.0,0.0
225368_at,0.0,0.0
225330_at,0.0,0.0
225304_s_at,0.0,0.0
225295_at,0.0,0.0
225293_at,0.0,0.0
225240_s_at,0.0,0.0
225799_at,0.0,0.0
225878_at,0.0,0.0
226644_at,0.0,0.0
225900_at,0.0,0.0
226627_at,0.0,0.0
226618_at,0.0,0.0
226579_at,0.0,0.0
226554_at,0.0,0.0
226544_x_at,0.0,0.0
226507_at,0.0,0.0
226443_at,0.0,0.0
226433_at,0.0,0.0
226428_at,0.0,0.0
226391_at,0.0,0.0
226382_at,0.0,0.0
226377_at,0.0,0.0
226360_at,0.0,0.0
226296_s_at,0.0,0.0
226291_at,0.0,0.0
226246_at,0.0,0.0
226195_at,0.0,0.0
226188_at,0.0,0.0
226086_at,0.0,0.0
226062_x_at,0.0,0.0
226024_at,0.0,0.0
226006_at,0.0,0.0
225941_at,0.0,0.0
225934_at,0.0,0.0
225923_at,0.0,0.0
225912_at,0.0,0.0
225905_s_at,0.0,0.0
222902_s_at,0.0,0.0
222887_s_at,0.0,0.0
222862_s_at,0.0,0.0
218205_s_at,0.0,0.0
218415_at,0.0,0.0
218380_at,0.0,0.0
218377_s_at,0.0,0.0
218354_at,0.0,0.0
218336_at,0.0,0.0
218328_at,0.0,0.0
218310_at,0.0,0.0
218302_at,0.0,0.0
218271_s_at,0.0,0.0
218263_s_at,0.0,0.0
218251_at,0.0,0.0
218220_at,0.0,0.0
218212_s_at,0.0,0.0
218204_s_at,0.0,0.0
219338_s_at,0.0,0.0
218177_at,0.0,0.0
218160_at,0.0,0.0
218155_x_at,0.0,0.0
218138_at,0.0,0.0
218133_s_at,0.0,0.0
218125_s_at,0.0,0.0
218120_s_at,0.0,0.0
218118_s_at,0.0,0.0
218117_at,0.0,0.0
218105_s_at,0.0,0.0
218086_at,0.0,0.0
218080_x_at,0.0,0.0
218066_at,0.0,0.0
218456_at,0.0,0.0
218488_at,0.0,0.0
218491_s_at,0.0,0.0
218500_at,0.0,0.0
219255_x_at,0.0,0.0
219203_at,0.0,0.0
219193_at,0.0,0.0
219134_at,0.0,0.0
219097_x_at,0.0,0.0
219028_at,0.0,0.0
219019_at,0.0,0.0
218953_s_at,0.0,0.0
218935_at,0.0,0.0
218897_at,0.0,0.0
218805_at,0.0,0.0
218788_s_at,0.0,0.0
218763_at,0.0,0.0
218735_s_at,0.0,0.0
218732_at,0.0,0.0
218679_s_at,0.0,0.0
218664_at,0.0,0.0
218653_at,0.0,0.0
218651_s_at,0.0,0.0
218628_at,0.0,0.0
218625_at,0.0,0.0
218623_at,0.0,0.0
218609_s_at,0.0,0.0
218579_s_at,0.0,0.0
218557_at,0.0,0.0
218546_at,0.0,0.0
218504_at,0.0,0.0
218059_at,0.0,0.0
218037_at,0.0,0.0
217965_s_at,0.0,0.0
217446_x_at,0.0,0.0
217331_at,0.0,0.0
217225_x_at,0.0,0.0
217152_at,0.0,0.0
217077_s_at,0.0,0.0
216977_x_at,0.0,0.0
216751_at,0.0,0.0
216745_x_at,0.0,0.0
216609_at,0.0,0.0
216602_s_at,0.0,0.0
216524_x_at,0.0,0.0
216308_x_at,0.0,0.0
216264_s_at,0.0,0.0
216232_s_at,0.0,0.0
216187_x_at,0.0,0.0
216101_at,0.0,0.0
216080_s_at,0.0,0.0
216044_x_at,0.0,0.0
216006_at,0.0,0.0
215991_s_at,0.0,0.0
215962_at,0.0,0.0
215811_at,0.0,0.0
215789_s_at,0.0,0.0
215785_s_at,0.0,0.0
215780_s_at,0.0,0.0
215722_s_at,0.0,0.0
215714_s_at,0.0,0.0
215700_x_at,0.0,0.0
217398_x_at,0.0,0.0
217482_at,0.0,0.0
217964_at,0.0,0.0
217546_at,0.0,0.0
217959_s_at,0.0,0.0
217941_s_at,0.0,0.0
217939_s_at,0.0,0.0
217932_at,0.0,0.0
217923_at,0.0,0.0
217890_s_at,0.0,0.0
217867_x_at,0.0,0.0
217860_at,0.0,0.0
217841_s_at,0.0,0.0
217840_at,0.0,0.0
217817_at,0.0,0.0
217815_at,0.0,0.0
217814_at,0.0,0.0
217795_s_at,0.0,0.0
217786_at,0.0,0.0
217782_s_at,0.0,0.0
217773_s_at,0.0,0.0
217766_s_at,0.0,0.0
217738_at,0.0,0.0
217733_s_at,0.0,0.0
217727_x_at,0.0,0.0
217720_at,0.0,0.0
217717_s_at,0.0,0.0
217713_x_at,0.0,0.0
217679_x_at,0.0,0.0
217620_s_at,0.0,0.0
217576_x_at,0.0,0.0
219319_at,0.0,0.0
219343_at,0.0,0.0
222809_x_at,0.0,0.0
221903_s_at,0.0,0.0
222339_x_at,0.0,0.0
222313_at,0.0,0.0
222310_at,0.0,0.0
222298_at,0.0,0.0
222282_at,0.0,0.0
222264_at,0.0,0.0
222160_at,0.0,0.0
222132_s_at,0.0,0.0
222125_s_at,0.0,0.0
222064_s_at,0.0,0.0
222005_s_at,0.0,0.0
221923_s_at,0.0,0.0
221908_at,0.0,0.0
221899_at,0.0,0.0
219365_s_at,0.0,0.0
221893_s_at,0.0,0.0
221853_s_at,0.0,0.0
221831_at,0.0,0.0
221829_s_at,0.0,0.0
221797_at,0.0,0.0
221792_at,0.0,0.0
221772_s_at,0.0,0.0
221620_s_at,0.0,0.0
221598_s_at,0.0,0.0
221562_s_at,0.0,0.0
221515_s_at,0.0,0.0
221504_s_at,0.0,0.0
221495_s_at,0.0,0.0
222358_x_at,0.0,0.0
222364_at,0.0,0.0
222372_at,0.0,0.0
222378_at,0.0,0.0
222796_at,0.0,0.0
222785_x_at,0.0,0.0
222780_s_at,0.0,0.0
222759_at,0.0,0.0
222750_s_at,0.0,0.0
222633_at,0.0,0.0
222621_at,0.0,0.0
222620_s_at,0.0,0.0
222614_at,0.0,0.0
222609_s_at,0.0,0.0
222606_at,0.0,0.0
222594_s_at,0.0,0.0
222558_at,0.0,0.0
222548_s_at,0.0,0.0
222530_s_at,0.0,0.0
222514_at,0.0,0.0
222513_s_at,0.0,0.0
222474_s_at,0.0,0.0
222469_s_at,0.0,0.0
222430_s_at,0.0,0.0
222425_s_at,0.0,0.0
222423_at,0.0,0.0
222418_s_at,0.0,0.0
222409_at,0.0,0.0
222396_at,0.0,0.0
222395_s_at,0.0,0.0
222380_s_at,0.0,0.0
221494_x_at,0.0,0.0
221488_s_at,0.0,0.0
221476_s_at,0.0,0.0
220316_at,0.0,0.0
220260_at,0.0,0.0
220183_s_at,0.0,0.0
220155_s_at,0.0,0.0
220113_x_at,0.0,0.0
220081_x_at,0.0,0.0
220072_at,0.0,0.0
220071_x_at,0.0,0.0
220040_x_at,0.0,0.0
219961_s_at,0.0,0.0
219945_at,0.0,0.0
219896_at,0.0,0.0
219862_s_at,0.0,0.0
219833_s_at,0.0,0.0
219778_at,0.0,0.0
219665_at,0.0,0.0
219660_s_at,0.0,0.0
219659_at,0.0,0.0
219575_s_at,0.0,0.0
219549_s_at,0.0,0.0
219543_at,0.0,0.0
219463_at,0.0,0.0
219445_at,0.0,0.0
219425_at,0.0,0.0
219408_at,0.0,0.0
219406_at,0.0,0.0
219392_x_at,0.0,0.0
219375_at,0.0,0.0
220261_s_at,0.0,0.0
220329_s_at,0.0,0.0
221449_s_at,0.0,0.0
220370_s_at,0.0,0.0
221432_s_at,0.0,0.0
221263_s_at,0.0,0.0
221260_s_at,0.0,0.0
221155_x_at,0.0,0.0
221062_at,0.0,0.0
220999_s_at,0.0,0.0
220979_s_at,0.0,0.0
220966_x_at,0.0,0.0
220948_s_at,0.0,0.0
220942_x_at,0.0,0.0
220864_s_at,0.0,0.0
220796_x_at,0.0,0.0
220744_s_at,0.0,0.0
220720_x_at,0.0,0.0
220690_s_at,0.0,0.0
220688_s_at,0.0,0.0
220668_s_at,0.0,0.0
220642_x_at,0.0,0.0
220617_s_at,0.0,0.0
220615_s_at,0.0,0.0
220609_at,0.0,0.0
220578_at,0.0,0.0
220572_at,0.0,0.0
220488_s_at,0.0,0.0
220467_at,0.0,0.0
220459_at,0.0,0.0
220419_s_at,0.0,0.0
228763_at,0.0,0.0
228774_at,0.0,0.0
228775_at,0.0,0.0
240521_at,0.0,0.0
241215_at,0.0,0.0
241036_at,0.0,0.0
241008_at,0.0,0.0
240971_x_at,0.0,0.0
240857_at,0.0,0.0
240830_at,0.0,0.0
240765_at,0.0,0.0
240733_at,0.0,0.0
240723_at,0.0,0.0
240636_at,0.0,0.0
240606_at,0.0,0.0
240554_at,0.0,0.0
240544_at,0.0,0.0
240503_at,0.0,0.0
242320_at,0.0,0.0
240502_at,0.0,0.0
240478_at,0.0,0.0
240461_at,0.0,0.0
240451_at,0.0,0.0
240399_at,0.0,0.0
240246_at,0.0,0.0
240231_at,0.0,0.0
240230_s_at,0.0,0.0
240186_at,0.0,0.0
240180_at,0.0,0.0
240139_at,0.0,0.0
240112_at,0.0,0.0
240052_at,0.0,0.0
241216_at,0.0,0.0
241223_x_at,0.0,0.0
241226_at,0.0,0.0
241228_at,0.0,0.0
242299_at,0.0,0.0
242287_at,0.0,0.0
242264_at,0.0,0.0
242239_at,0.0,0.0
242195_x_at,0.0,0.0
242052_at,0.0,0.0
242040_at,0.0,0.0
242014_at,0.0,0.0
241993_x_at,0.0,0.0
241954_at,0.0,0.0
241893_at,0.0,0.0
241837_at,0.0,0.0
241818_at,0.0,0.0
241798_at,0.0,0.0
241786_at,0.0,0.0
241769_at,0.0,0.0
241762_at,0.0,0.0
241745_at,0.0,0.0
241686_x_at,0.0,0.0
241681_at,0.0,0.0
241627_x_at,0.0,0.0
241613_at,0.0,0.0
241588_at,0.0,0.0
241457_at,0.0,0.0
241391_at,0.0,0.0
241387_at,0.0,0.0
241368_at,0.0,0.0
240038_at,0.0,0.0
240018_at,0.0,0.0
240005_at,0.0,0.0
238883_at,0.0,0.0
238836_at,0.0,0.0
238786_at,0.0,0.0
238769_at,0.0,0.0
238747_at,0.0,0.0
238718_at,0.0,0.0
238716_at,0.0,0.0
238715_at,0.0,0.0
238658_at,0.0,0.0
238651_at,0.0,0.0
238642_at,0.0,0.0
238622_at,0.0,0.0
238595_at,0.0,0.0
238584_at,0.0,0.0
238573_at,0.0,0.0
238567_at,0.0,0.0
238560_at,0.0,0.0
238558_at,0.0,0.0
238468_at,0.0,0.0
238430_x_at,0.0,0.0
238417_at,0.0,0.0
238354_x_at,0.0,0.0
238350_at,0.0,0.0
238277_at,0.0,0.0
238199_x_at,0.0,0.0
238078_at,0.0,0.0
238058_at,0.0,0.0
238049_at,0.0,0.0
238851_at,0.0,0.0
238890_at,0.0,0.0
239978_at,0.0,0.0
239035_at,0.0,0.0
239901_at,0.0,0.0
239889_at,0.0,0.0
239886_at,0.0,0.0
239866_at,0.0,0.0
239832_at,0.0,0.0
239831_at,0.0,0.0
239826_at,0.0,0.0
239811_at,0.0,0.0
239808_at,0.0,0.0
239748_x_at,0.0,0.0
239661_at,0.0,0.0
239649_at,0.0,0.0
239629_at,0.0,0.0
239603_x_at,0.0,0.0
239597_at,0.0,0.0
239559_at,0.0,0.0
239497_at,0.0,0.0
239474_at,0.0,0.0
239449_at,0.0,0.0
239409_at,0.0,0.0
239311_at,0.0,0.0
239179_at,0.0,0.0
239167_at,0.0,0.0
239121_at,0.0,0.0
239102_s_at,0.0,0.0
239096_at,0.0,0.0
239071_at,0.0,0.0
242319_at,0.0,0.0
242325_at,0.0,0.0
238009_at,0.0,0.0
244334_at,0.0,0.0
244709_at,0.0,0.0
244697_at,0.0,0.0
244669_at,0.0,0.0
244646_at,0.0,0.0
244622_at,0.0,0.0
244610_x_at,0.0,0.0
244530_at,0.0,0.0
244508_at,0.0,0.0
244433_at,0.0,0.0
244414_at,0.0,0.0
244357_at,0.0,0.0
244350_at,0.0,0.0
244341_at,0.0,0.0
244300_at,0.0,0.0
242337_at,0.0,0.0
244292_at,0.0,0.0
244197_x_at,0.0,0.0
244194_at,0.0,0.0
244045_at,0.0,0.0
244040_at,0.0,0.0
244007_at,0.0,0.0
243_g_at,0.0,0.0
243993_at,0.0,0.0
243988_at,0.0,0.0
243915_at,0.0,0.0
243830_at,0.0,0.0
243827_at,0.0,0.0
243768_at,0.0,0.0
244753_at,0.0,0.0
244766_at,0.0,0.0
244778_x_at,0.0,0.0
244804_at,0.0,0.0
AFFX-r2-Bs-dap-3_at,0.0,0.0
AFFX-HUMGAPDH/M33197_M_at,0.0,0.0
AFFX-HUMGAPDH/M33197_5_at,0.0,0.0
AFFX-HUMGAPDH/M33197_3_at,0.0,0.0
AFFX-HSAC07/X00351_M_at,0.0,0.0
AFFX-HSAC07/X00351_3_at,0.0,0.0
AFFX-DapX-3_at,0.0,0.0
63009_at,0.0,0.0
61874_at,0.0,0.0
58780_s_at,0.0,0.0
