probe_id,gene_symbol,gene_display,mean_abs_shap
238558_at,,238558_at,0.006843719443807914
211993_at,WNK1,WNK1 (211993_at),0.006476973824506511
203146_s_at,GABBR1,GABBR1 (203146_s_at),0.006225248827182918
222125_s_at,P4HTM,P4HTM (222125_s_at),0.005611394214733787
200629_at,WARS,WARS (200629_at),0.004973162941229289
1558732_at,MAP4K4,MAP4K4 (1558732_at),0.004388916086621764
202517_at,CRMP1,CRMP1 (202517_at),0.0040985984441161685
242829_x_at,,242829_x_at,0.003994650482993624
213045_at,MAST3,MAST3 (213045_at),0.003965916936464974
224689_at,MANBAL,MANBAL (224689_at),0.0036282909840776177
212923_s_at,PXDC1,PXDC1 (212923_s_at),0.003479629020641525
231735_s_at,MALAT1,MALAT1 (231735_s_at),0.0033650895621861587
218953_s_at,PCYOX1L,PCYOX1L (218953_s_at),0.003361731283908807
209159_s_at,NDRG4,NDRG4 (209159_s_at),0.003207260425388271
230296_at,C16orf52|LOC101930115|VWA3A,C16orf52|LOC101930115|VWA3A (230296_at),0.0031743846616577127
210976_s_at,PFKM,PFKM (210976_s_at),0.003116989062769764
211752_s_at,NDUFS7,NDUFS7 (211752_s_at),0.0028500355828646675
234562_x_at,,234562_x_at,0.002815947302971677
223206_s_at,NMRAL1,NMRAL1 (223206_s_at),0.002782337686544345
200039_s_at,PSMB2,PSMB2 (200039_s_at),0.0026819436018076445
201632_at,EIF2B1,EIF2B1 (201632_at),0.002658802051527702
223272_s_at,NTPCR,NTPCR (223272_s_at),0.002657914742499882
243648_at,ZBED6,ZBED6 (243648_at),0.0026475970399367525
201635_s_at,FXR1,FXR1 (201635_s_at),0.0025719363501221526
211921_x_at,LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA,LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA (211921_x_at),0.0025458746620995046
209268_at,VPS45,VPS45 (209268_at),0.002523658140135349
202041_s_at,FIBP,FIBP (202041_s_at),0.0024948437295965976
207084_at,POU3F2,POU3F2 (207084_at),0.002489920305099104
202433_at,SLC35B1,SLC35B1 (202433_at),0.0024189366739134264
201704_at,ENTPD6,ENTPD6 (201704_at),0.002329035388165598
223134_at,BBX,BBX (223134_at),0.0023246528515519097
225507_at,PNISR,PNISR (225507_at),0.0022877540752456282
206652_at,ZMYM5,ZMYM5 (206652_at),0.002234834753089791
1556007_s_at,CSNK1A1,CSNK1A1 (1556007_s_at),0.0022293608236375437
219549_s_at,RTN3,RTN3 (219549_s_at),0.002185236188508642
238642_at,ANKRD13D,ANKRD13D (238642_at),0.0021822657228798364
242712_x_at,RANBP2|RGPD1|RGPD2|RGPD3|RGPD4|RGPD5|RGPD6|RGPD8,RANBP2|RGPD1|RGPD2|RGPD3|RGPD4|RGPD5|RGPD6|RGPD8 (242712_x_at),0.002167941241849128
212361_s_at,ATP2A2,ATP2A2 (212361_s_at),0.002151808023369713
227582_at,KLHDC9,KLHDC9 (227582_at),0.0021286211963634535
244778_x_at,,244778_x_at,0.002118136812971743
204270_at,SKI,SKI (204270_at),0.0021160753466381403
202074_s_at,OPTN,OPTN (202074_s_at),0.002112522971291771
225571_at,LIFR,LIFR (225571_at),0.002092012298699343
1569302_at,KIAA1731,KIAA1731 (1569302_at),0.0020834794880914436
220615_s_at,FAR2,FAR2 (220615_s_at),0.002063889353980449
225239_at,MIR612|NEAT1,MIR612|NEAT1 (225239_at),0.0020334510752033075
244197_x_at,,244197_x_at,0.0020083962445012634
203266_s_at,MAP2K4,MAP2K4 (203266_s_at),0.002000032101062654
217786_at,PRMT5,PRMT5 (217786_at),0.0019982297393753685
218377_s_at,RWDD2B,RWDD2B (218377_s_at),0.0019460193551975257
224771_at,NAV1,NAV1 (224771_at),0.0019282828604454433
218328_at,COQ4,COQ4 (218328_at),0.0019079560863150273
226675_s_at,MALAT1,MALAT1 (226675_s_at),0.0018998361515409103
1562935_at,,1562935_at,0.0018916221538354677
231015_at,KLF15,KLF15 (231015_at),0.0018842490548007412
230629_s_at,EP400,EP400 (230629_s_at),0.001870122780594763
235213_at,ITPKB,ITPKB (235213_at),0.0018613915176248393
235119_at,TAF3,TAF3 (235119_at),0.0018607921087814517
223460_at,CAMKK1,CAMKK1 (223460_at),0.0018469193081337933
201502_s_at,NFKBIA,NFKBIA (201502_s_at),0.00183692031634194
204355_at,DHX30,DHX30 (204355_at),0.001830231418375176
205787_x_at,LOC441155|ZC3H11A,LOC441155|ZC3H11A (205787_x_at),0.0018252765159600109
203605_at,SRP54,SRP54 (203605_at),0.001820645038588934
209001_s_at,ANAPC13,ANAPC13 (209001_s_at),0.001797196324537164
214577_at,MAP1B,MAP1B (214577_at),0.0017918952256157077
230392_at,,230392_at,0.0017875341667135153
236488_s_at,CTD-3092A11.2,CTD-3092A11.2 (236488_s_at),0.0017670642204862153
202309_at,MTHFD1,MTHFD1 (202309_at),0.0017391733703979455
209026_x_at,TUBB,TUBB (209026_x_at),0.001732443390922072
217817_at,ARPC4,ARPC4 (217817_at),0.0017170935424309598
237790_at,SCN8A,SCN8A (237790_at),0.0017067091489440579
212177_at,PNISR,PNISR (212177_at),0.0017028529884029044
222425_s_at,POLDIP2,POLDIP2 (222425_s_at),0.0016904136495378324
222620_s_at,DNAJC1,DNAJC1 (222620_s_at),0.001683739933846431
242366_at,,242366_at,0.0016769752442549672
241893_at,,241893_at,0.0016620130664495726
215789_s_at,AJAP1,AJAP1 (215789_s_at),0.0016561117101780692
228027_at,ARMCX5-GPRASP2|GPRASP2,ARMCX5-GPRASP2|GPRASP2 (228027_at),0.0016297226910640934
209424_s_at,AMACR|C1QTNF3-AMACR,AMACR|C1QTNF3-AMACR (209424_s_at),0.0016246813482722622
229776_at,SLCO3A1,SLCO3A1 (229776_at),0.0016161883387217546
209163_at,CYB561,CYB561 (209163_at),0.0016023640902264324
228541_x_at,NGRN,NGRN (228541_x_at),0.001577621513583536
235640_at,,235640_at,0.0015725882409977005
205550_s_at,BRE,BRE (205550_s_at),0.0015722412911330045
1554863_s_at,DOK5,DOK5 (1554863_s_at),0.0015675221667605615
227062_at,MIR612|NEAT1,MIR612|NEAT1 (227062_at),0.0015456050451925763
239649_at,,239649_at,0.0014989383113700734
243988_at,,243988_at,0.0014983895415759169
208977_x_at,TUBB4B,TUBB4B (208977_x_at),0.0014928801063446805
201387_s_at,UCHL1,UCHL1 (201387_s_at),0.0014877167493090645
1559101_at,,1559101_at,0.0014868910845351304
209258_s_at,SMC3,SMC3 (209258_s_at),0.001466465618893196
229656_s_at,EML6,EML6 (229656_s_at),0.001465211764392955
1555931_at,TSGA10,TSGA10 (1555931_at),0.0014599049830223553
201415_at,GSS,GSS (201415_at),0.0014575146119508984
205738_s_at,FABP3,FABP3 (205738_s_at),0.0014289622977215594
207170_s_at,LETMD1,LETMD1 (207170_s_at),0.0014214885632025615
243233_at,,243233_at,0.0014139246192217078
221831_at,LUZP1,LUZP1 (221831_at),0.001386176318777128
43427_at,ACACB,ACACB (43427_at),0.001346784375948746
209104_s_at,NHP2,NHP2 (209104_s_at),0.0013460183793177962
204905_s_at,EEF1E1,EEF1E1 (204905_s_at),0.00133663594672412
224523_s_at,CMSS1,CMSS1 (224523_s_at),0.0013363013613473898
238078_at,SEC22A,SEC22A (238078_at),0.0013286920855162688
1562529_s_at,,1562529_s_at,0.0013227173493222145
218263_s_at,ZBED5,ZBED5 (218263_s_at),0.00130929988504886
1559515_at,,1559515_at,0.0013062890283582033
200811_at,CIRBP,CIRBP (200811_at),0.0013051948285253032
218609_s_at,NUDT2,NUDT2 (218609_s_at),0.0013042618756904482
204977_at,DDX10,DDX10 (204977_at),0.0013034533872258408
1553313_s_at,SLC5A3,SLC5A3 (1553313_s_at),0.0012669010194881745
201600_at,PHB2,PHB2 (201600_at),0.0012662944651735553
200875_s_at,MIR1292|NOP56|SNORD110|SNORD57|SNORD86,MIR1292|NOP56|SNORD110|SNORD57|SNORD86 (200875_s_at),0.0012644048483072263
236338_at,,236338_at,0.0012642194705541187
229663_at,LOC100507577|LONP2,LOC100507577|LONP2 (229663_at),0.0012588555895994068
220155_s_at,BRD9,BRD9 (220155_s_at),0.0012482434205382572
201837_s_at,SUPT7L,SUPT7L (201837_s_at),0.0012346464956569526
218415_at,VPS33B,VPS33B (218415_at),0.001228864342908146
226879_at,HVCN1,HVCN1 (226879_at),0.0012236075295589156
224628_at,ERLEC1,ERLEC1 (224628_at),0.0012179402029323576
222513_s_at,SORBS1,SORBS1 (222513_s_at),0.0012170926863571952
202942_at,ETFB,ETFB (202942_at),0.0011946602274985707
211983_x_at,ACTB|ACTG1,ACTB|ACTG1 (211983_x_at),0.0011905120356468953
1555272_at,RSPH10B|RSPH10B2,RSPH10B|RSPH10B2 (1555272_at),0.0011885941080651001
227260_at,,227260_at,0.0011879675375784983
202868_s_at,POP4,POP4 (202868_s_at),0.0011870913228220873
208549_x_at,PTMA,PTMA (208549_x_at),0.001182003776453619
202178_at,PRKCZ,PRKCZ (202178_at),0.001181559850598306
201481_s_at,PYGB,PYGB (201481_s_at),0.0011661404397424325
239179_at,,239179_at,0.001161097072885934
244610_x_at,,244610_x_at,0.0011603251543550856
201090_x_at,TUBA1B,TUBA1B (201090_x_at),0.0011592807031508372
212119_at,RHOQ,RHOQ (212119_at),0.0011576169425316673
218133_s_at,NIF3L1,NIF3L1 (218133_s_at),0.0011547921207077133
217964_at,TTC19,TTC19 (217964_at),0.0011530111287116117
212411_at,IMP4,IMP4 (212411_at),0.0011505915706232846
230923_at,FAM19A1,FAM19A1 (230923_at),0.0011448461771184318
208835_s_at,LUC7L3,LUC7L3 (208835_s_at),0.0011438088459697206
235592_at,,235592_at,0.001140718480139096
208969_at,NDUFA9,NDUFA9 (208969_at),0.0011389434638688694
237560_at,MRPS5,MRPS5 (237560_at),0.0011378238598941878
209014_at,MAGED1,MAGED1 (209014_at),0.001136694176186403
224878_at,UBFD1,UBFD1 (224878_at),0.0011355766770322782
1555950_a_at,CD55,CD55 (1555950_a_at),0.0011320216941013252
214170_x_at,FH,FH (214170_x_at),0.0011302113247787873
201142_at,EIF2S1,EIF2S1 (201142_at),0.0011247675170621017
222395_s_at,UBE2Z,UBE2Z (222395_s_at),0.0011220286337244535
1568603_at,CADPS,CADPS (1568603_at),0.001120657623800594
233216_at,ZDHHC21,ZDHHC21 (233216_at),0.001115903866429314
227068_at,PGK1,PGK1 (227068_at),0.0011157679407903924
38398_at,MADD,MADD (38398_at),0.001114304746215717
1558922_at,,1558922_at,0.0011090073596112236
225733_at,B3GALT6,B3GALT6 (225733_at),0.0011082313647728555
220966_x_at,ARPC5L,ARPC5L (220966_x_at),0.0011064123207467481
236704_at,LOC101929787,LOC101929787 (236704_at),0.001100901452137494
228763_at,MDP1|NEDD8-MDP1,MDP1|NEDD8-MDP1 (228763_at),0.0011001881718456792
213726_x_at,TUBB4B,TUBB4B (213726_x_at),0.001091648053682245
229961_x_at,YJEFN3,YJEFN3 (229961_x_at),0.0010905700269422344
229677_at,SLC39A3,SLC39A3 (229677_at),0.0010898513499937531
242239_at,NSUN6,NSUN6 (242239_at),0.0010881472045412364
231281_at,,231281_at,0.0010880778678620502
219134_at,ELTD1,ELTD1 (219134_at),0.0010812895016264663
225799_at,LINC00152|LOC101930489|MIR4435-1HG,LINC00152|LOC101930489|MIR4435-1HG (225799_at),0.0010696147467739016
242299_at,,242299_at,0.0010672055347115093
200802_at,SARS,SARS (200802_at),0.0010638300362005241
226062_x_at,FAM63A,FAM63A (226062_x_at),0.0010614508565789512
1569129_s_at,C3orf38,C3orf38 (1569129_s_at),0.0010603592458294463
201341_at,ENC1,ENC1 (201341_at),0.001060114357619279
201410_at,PLEKHB2,PLEKHB2 (201410_at),0.001059795110901426
201828_x_at,FAM127A,FAM127A (201828_x_at),0.001055839711273375
223145_s_at,AKIRIN2,AKIRIN2 (223145_s_at),0.0010514544188045209
201345_s_at,UBE2D2,UBE2D2 (201345_s_at),0.0010492231735638323
236081_at,SNCA,SNCA (236081_at),0.0010471163459541404
224738_x_at,RPL7L1,RPL7L1 (224738_x_at),0.0010433592464952506
227944_at,PTPN3,PTPN3 (227944_at),0.0010430177429623275
200955_at,IMMT,IMMT (200955_at),0.0010425326430461403
201519_at,TOMM70A,TOMM70A (201519_at),0.0010421719464993144
211714_x_at,TUBB,TUBB (211714_x_at),0.0010410332857928597
225493_at,CCNT1,CCNT1 (225493_at),0.0010398857987591649
225742_at,MDM4,MDM4 (225742_at),0.001035152882850611
209265_s_at,METTL3,METTL3 (209265_s_at),0.001026938777169159
201900_s_at,AKR1A1,AKR1A1 (201900_s_at),0.0010224011421337581
241769_at,,241769_at,0.0010216110773025218
211546_x_at,SNCA,SNCA (211546_x_at),0.0010188973324103256
203909_at,SLC9A6,SLC9A6 (203909_at),0.001015424145837418
1568604_a_at,CADPS,CADPS (1568604_a_at),0.001013594349034131
226377_at,NFIC,NFIC (226377_at),0.001009652402361468
221908_at,RNFT2,RNFT2 (221908_at),0.0010039973459590311
241215_at,,241215_at,0.0010011597922931937
216080_s_at,FADS3,FADS3 (216080_s_at),0.0009967785646941931
202838_at,FUCA1,FUCA1 (202838_at),0.0009946374842560275
208598_s_at,HUWE1,HUWE1 (208598_s_at),0.000994446546263189
213015_at,BBX,BBX (213015_at),0.0009889600689415544
203264_s_at,ARHGEF9,ARHGEF9 (203264_s_at),0.0009883408987346736
218664_at,MECR,MECR (218664_at),0.0009879766148259506
242428_at,,242428_at,0.000986402807872503
226999_at,RNPC3,RNPC3 (226999_at),0.000984496544020353
214415_at,PLGLB1|PLGLB2,PLGLB1|PLGLB2 (214415_at),0.0009778733391643233
219193_at,WDR70,WDR70 (219193_at),0.0009768604691871104
202242_at,TSPAN7,TSPAN7 (202242_at),0.0009756312473019399
215535_s_at,AGPAT1,AGPAT1 (215535_s_at),0.0009755319511588272
202279_at,C14orf2,C14orf2 (202279_at),0.0009750601990668935
222380_s_at,PDCD6,PDCD6 (222380_s_at),0.0009723034913439346
201313_at,ENO2,ENO2 (201313_at),0.0009707916145200295
1561167_at,,1561167_at,0.0009685897438217217
208722_s_at,ANAPC5,ANAPC5 (208722_s_at),0.0009660775830303459
202737_s_at,LSM4,LSM4 (202737_s_at),0.0009635443977097574
214439_x_at,BIN1,BIN1 (214439_x_at),0.0009612374682509095
1555824_a_at,PACS2,PACS2 (1555824_a_at),0.0009602592358553757
209225_x_at,TNPO1,TNPO1 (209225_x_at),0.000960006817568912
221476_s_at,RPL15,RPL15 (221476_s_at),0.0009561693272950699
221504_s_at,ATP6V1H,ATP6V1H (221504_s_at),0.000956014343826573
208308_s_at,GPI,GPI (208308_s_at),0.0009518215458416539
212068_s_at,PRRC2B,PRRC2B (212068_s_at),0.0009511310111249766
227847_at,EPM2AIP1,EPM2AIP1 (227847_at),0.0009452037764612536
222264_at,HNRNPUL2,HNRNPUL2 (222264_at),0.0009442217606346479
1559391_s_at,,1559391_s_at,0.0009439193319844639
200697_at,HK1,HK1 (200697_at),0.000937625542569808
200843_s_at,EPRS,EPRS (200843_s_at),0.000933832996358833
204465_s_at,INA,INA (204465_s_at),0.0009310507253081921
204229_at,SLC17A7,SLC17A7 (204229_at),0.0009305431746538601
201174_s_at,TERF2IP,TERF2IP (201174_s_at),0.0009237545342562396
206118_at,STAT4,STAT4 (206118_at),0.0009109176514574484
234788_x_at,,234788_x_at,0.0009037554727964803
225446_at,BRWD1,BRWD1 (225446_at),0.0009018049617077026
201648_at,JAK1,JAK1 (201648_at),0.0008973500923895439
223193_x_at,FAM162A,FAM162A (223193_x_at),0.0008934088827038603
212581_x_at,GAPDH,GAPDH (212581_x_at),0.0008927674554939177
237475_x_at,CCDC152,CCDC152 (237475_x_at),0.000891781635592018
200758_s_at,NFE2L1,NFE2L1 (200758_s_at),0.0008912268469780474
201892_s_at,IMPDH2,IMPDH2 (201892_s_at),0.0008902303356023298
244292_at,,244292_at,0.0008888123122111939
202320_at,GTF3C1,GTF3C1 (202320_at),0.0008825538058061134
223189_x_at,KMT2E,KMT2E (223189_x_at),0.0008780071337889752
225699_at,LOC101928927|SNHG15|SNORA9,LOC101928927|SNHG15|SNORA9 (225699_at),0.0008705496785789217
222530_s_at,MKKS,MKKS (222530_s_at),0.0008646214446660875
200975_at,PPT1,PPT1 (200975_at),0.000864142838026907
210792_x_at,SIVA1,SIVA1 (210792_x_at),0.000853718408280738
208643_s_at,XRCC5,XRCC5 (208643_s_at),0.0008495560119346615
217738_at,NAMPT,NAMPT (217738_at),0.0008439308695303053
220113_x_at,POLR1B,POLR1B (220113_x_at),0.0008406986376872245
227404_s_at,EGR1,EGR1 (227404_s_at),0.000839435597690773
212162_at,KIDINS220,KIDINS220 (212162_at),0.0008389768228682771
1556244_s_at,LOC375196,LOC375196 (1556244_s_at),0.0008318706931514702
219833_s_at,EFHC1,EFHC1 (219833_s_at),0.0008309567230156328
202712_s_at,CKMT1A|CKMT1B,CKMT1A|CKMT1B (202712_s_at),0.0008296846194971514
237937_x_at,,237937_x_at,0.0008283420717229881
233350_s_at,TEX264,TEX264 (233350_s_at),0.0008275837804839423
221449_s_at,ITFG1,ITFG1 (221449_s_at),0.0008258411459953448
237106_at,SLC11A2,SLC11A2 (237106_at),0.0008197821283622637
241216_at,,241216_at,0.0008196667955761435
211500_at,MAPK11,MAPK11 (211500_at),0.0008177648015846443
224879_at,TMEM261,TMEM261 (224879_at),0.0008167059178091549
240018_at,,240018_at,0.0008161804693612152
210460_s_at,PSMD4,PSMD4 (210460_s_at),0.0008159599650510017
211679_x_at,GABBR2,GABBR2 (211679_x_at),0.0008142123437415086
224509_s_at,RTN4IP1,RTN4IP1 (224509_s_at),0.0008106233461377228
201145_at,HAX1,HAX1 (201145_at),0.000804543819298854
225330_at,IGF1R,IGF1R (225330_at),0.0008040537051637165
210461_s_at,ABLIM1,ABLIM1 (210461_s_at),0.0007775110659840533
217860_at,NDUFA10,NDUFA10 (217860_at),0.0007746302013219309
240521_at,,240521_at,0.0007645623915337795
202852_s_at,AAGAB,AAGAB (202852_s_at),0.0007592636771992418
202477_s_at,TUBGCP2,TUBGCP2 (202477_s_at),0.0007508092425453207
200001_at,CAPNS1,CAPNS1 (200001_at),0.0007435919034110363
211047_x_at,AP2S1,AP2S1 (211047_x_at),0.000740127237409502
201758_at,TSG101,TSG101 (201758_at),0.0007374863154023142
202893_at,UNC13B,UNC13B (202893_at),0.0007357996417441323
204745_x_at,MT1G,MT1G (204745_x_at),0.0007337180003145624
234969_s_at,EPC1,EPC1 (234969_s_at),0.0007237050879915467
206826_at,PMP2,PMP2 (206826_at),0.0007218573966103809
226912_at,ZDHHC23,ZDHHC23 (226912_at),0.0007197507696291098
212850_s_at,LRP4,LRP4 (212850_s_at),0.0007195693871819105
232551_at,SLC26A6,SLC26A6 (232551_at),0.0007154918196425735
202501_at,MAPRE2,MAPRE2 (202501_at),0.0007103303329059782
202145_at,LY6E,LY6E (202145_at),0.0007095811819948794
225741_at,THUMPD3,THUMPD3 (225741_at),0.0007087598745510907
203816_at,DGUOK,DGUOK (203816_at),0.0007069493446576733
224594_x_at,ACTB,ACTB (224594_x_at),0.000704693778144753
209161_at,PRPF4,PRPF4 (209161_at),0.0007013803589402401
211715_s_at,BDH1,BDH1 (211715_s_at),0.0006923272545304389
210640_s_at,GPER1,GPER1 (210640_s_at),0.0006903861083795102
200960_x_at,CLTA,CLTA (200960_x_at),0.0006851114544180757
219343_at,CDC37L1,CDC37L1 (219343_at),0.0006816313590223872
200068_s_at,CANX,CANX (200068_s_at),0.0006800672086292294
215269_at,TRAPPC10,TRAPPC10 (215269_at),0.0006795343791208278
201255_x_at,BAG6,BAG6 (201255_x_at),0.0006793440263453102
217482_at,,217482_at,0.0006785507482278059
212832_s_at,CKAP5,CKAP5 (212832_s_at),0.0006767567052004623
205690_s_at,BUD31,BUD31 (205690_s_at),0.0006744375449635351
223037_at,PDZD11,PDZD11 (223037_at),0.000673724911117888
212178_s_at,POM121C,POM121C (212178_s_at),0.0006641307595778391
222785_x_at,C11orf1,C11orf1 (222785_x_at),0.0006628143477148736
237040_at,CWF19L2,CWF19L2 (237040_at),0.0006597484194102552
213555_at,RWDD2A,RWDD2A (213555_at),0.0006552882772666762
230656_s_at,CIRH1A,CIRH1A (230656_s_at),0.0006480258212379676
200625_s_at,CAP1,CAP1 (200625_s_at),0.0006425568844579982
1559060_a_at,FNIP1,FNIP1 (1559060_a_at),0.0006406882644121968
209953_s_at,CDC37,CDC37 (209953_s_at),0.0006363774156946158
220488_s_at,BCAS3,BCAS3 (220488_s_at),0.0006325617026653616
233031_at,ZEB2,ZEB2 (233031_at),0.0006322769615382001
225061_at,DNAJA4,DNAJA4 (225061_at),0.000631166642089425
229606_at,,229606_at,0.0006259681382680734
218763_at,STX18,STX18 (218763_at),0.0006240356284593016
1555982_at,ZFYVE16,ZFYVE16 (1555982_at),0.0006217670659506002
224227_s_at,BDP1,BDP1 (224227_s_at),0.0006196965079747199
242611_at,,242611_at,0.0006192652597691263
240971_x_at,,240971_x_at,0.0006181493684544252
214762_at,ATP6V1G2,ATP6V1G2 (214762_at),0.0006169616626268052
214682_at,PKD1P1,PKD1P1 (214682_at),0.0006141282144074043
1559375_s_at,RP11-194N12.2,RP11-194N12.2 (1559375_s_at),0.0006133798983894104
209192_x_at,KAT5,KAT5 (209192_x_at),0.0006052585204028234
204786_s_at,IFNAR2,IFNAR2 (204786_s_at),0.00060172290814821
204338_s_at,RGS4,RGS4 (204338_s_at),0.0005985971791736662
223002_s_at,XRN2,XRN2 (223002_s_at),0.0005900971063910095
202012_s_at,EXT2,EXT2 (202012_s_at),0.0005900928043994556
209196_at,WDR46,WDR46 (209196_at),0.0005887855745140975
212837_at,FAM175B,FAM175B (212837_at),0.0005845077486923748
204260_at,CHGB,CHGB (204260_at),0.0005796450903395773
1558118_at,DGCR5|LOC100287576,DGCR5|LOC100287576 (1558118_at),0.0005786979780340445
202975_s_at,RHOBTB3,RHOBTB3 (202975_s_at),0.0005750653297369512
206562_s_at,CSNK1A1,CSNK1A1 (206562_s_at),0.0005743886222826129
